title,developer,platform,release_date,critic_score,number_of_critics,user_score,number_of_users,player_mode,esrb_rating,genre
NBA 2K16,Visual Concepts,PlayStation 4,09/25/2015,87.0,51,6.7,462,Up to 10 ,E10+,"Action, General, Sports, Team, Basketball, Sim"
Spelunky 2,Mossmouth,PlayStation 4,09/15/2020,87.0,41,7.8,79,Up to 4 ,T,"Action, Platformer, 2D"
Fallout 4,Bethesda Game Studios,PlayStation 4,11/10/2015,87.0,58,6.8,6004,No Online Multiplayer,M,"General, Role-Playing, Western-Style"
Uncharted: The Nathan Drake Collection,Bluepoint Games,PlayStation 4,10/09/2015,86.0,78,8.6,3451,No Online Multiplayer,T,"Miscellaneous, Action Adventure, General, Compilation"
Red Dead Redemption 2,Rockstar Games,Xbox One,10/26/2018,97.0,33,8.3,4924,Up to 32 ,M,"Action Adventure, Open-World"
Grand Theft Auto V,Rockstar North,Xbox One,11/18/2014,97.0,14,7.9,1813,Up to 30 ,M,"Action Adventure, Modern, Open-World"
Metal Gear Solid V: The Phantom Pain,Kojima Productions,Xbox One,09/01/2015,95.0,10,7.6,1369,Up to 16 ,M,"Modern, Modern, Action Adventure, Open-World"
Celeste,Matt Makes Games Inc.,Xbox One,01/26/2018,94.0,10,7.7,423,No Online Multiplayer,E10+,"Action, Platformer, 2D"
Resident Evil 2,Capcom R&D Division 1,Xbox One,01/25/2019,93.0,27,8.8,1187,No Online Multiplayer,M,"Action Adventure, Survival"
INSIDE,PLAYDEAD,Xbox One,06/29/2016,93.0,87,8.4,761,,M,"Action, Platformer, 2D"
Forza Horizon 4,Playground Games,Xbox One,09/28/2018,92.0,88,8.3,1786,Up to 12 ,E,"Racing, Simulation, Automobile"
Divinity: Original Sin II - Definitive Edition,Larian Studios Games,Xbox One,08/31/2018,92.0,12,7.7,148,Online Multiplayer,M,"Role-Playing, Western-Style"
What Remains of Edith Finch,Giant Sparrow,Xbox One,07/19/2017,92.0,12,7.9,315,No Online Multiplayer,T,"Adventure, 3D, First-Person"
Cuphead in the Delicious Last Course,Studio MDHR,Xbox One,06/30/2022,92.0,9,8.4,54,No Online Multiplayer,E10+,"Action, Platformer, 2D"
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Square Enix,Xbox One,12/04/2020,92.0,16,8.5,166,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
The Witcher 3: Wild Hunt,CD Projekt Red Studio,Xbox One,05/19/2015,91.0,13,9.1,5573,No Online Multiplayer,M,"Action RPG, Role-Playing, Action RPG"
Overwatch,Blizzard Entertainment,Xbox One,05/23/2016,91.0,18,5.9,981,Up to 12 ,T,"Action, Shooter, First-Person, Tactical"
Sekiro: Shadows Die Twice,From Software,Xbox One,03/22/2019,91.0,31,9.0,1737,No Online Multiplayer,M,"Action Adventure, General"
Forza Horizon 3,Playground Games,Xbox One,09/23/2016,91.0,91,8.2,1271,Up to 12 ,E,"Racing, Simulation, Automobile"
Dead Cells,Motion Twin,Xbox One,08/07/2018,91.0,18,8.2,171,No Online Multiplayer,T,"Action, Platformer, 2D"
Psychonauts 2,Double Fine Productions,Xbox One,08/25/2021,91.0,11,6.4,361,No Online Multiplayer,T,"Beat-'Em-Up, Action, Action Adventure, Platformer, Open-World, 3D"
F1 2020,Codemasters,Xbox One,07/10/2020,91.0,20,7.4,115,Up to 20 ,E,"Racing, Simulation, Automobile"
Monster Hunter: World - Iceborne,Capcom,Xbox One,09/06/2019,90.0,9,8.1,77,,T,"Role-Playing, Action RPG"
NieR: Automata - Become as Gods Edition,PlatinumGames,Xbox One,06/26/2018,90.0,30,9.1,798,No Online Multiplayer,M,"Role-Playing, Action RPG"
Monster Hunter: World,Capcom,Xbox One,01/26/2018,90.0,17,7.2,483,Up to 4 ,T,"Role-Playing, Action RPG"
Ori and the Will of the Wisps,Moon Studios,Xbox One,03/11/2020,90.0,71,8.9,1831,No Online Multiplayer,E,"Action, Platformer, 2D, None, Metroidvania"
NBA 2K17,Visual Concepts,Xbox One,09/16/2016,90.0,17,5.9,144,,E,"Sports, Team, Basketball, Sim"
Yakuza 0,Ryu ga Gotoku Studios,Xbox One,02/26/2020,90.0,9,8.2,220,No Online Multiplayer,M,"Action Adventure, Open-World"
Mass Effect Legendary Edition,BioWare,Xbox One,05/14/2021,90.0,30,7.0,405,No Online Multiplayer,M,"Miscellaneous, Compilation"
Yakuza: Like a Dragon,Sega,Xbox One,11/10/2020,89.0,18,8.5,138,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
F1 2019,Codemasters,Xbox One,06/25/2019,89.0,15,7.0,58,Up to 20 ,E,"Racing, Simulation, Automobile"
Dark Souls II: Scholar of the First Sin,From Software,Xbox One,04/07/2015,89.0,11,7.8,286,Up to 6 ,T,"Role-Playing, Action RPG"
Hollow Knight: Voidheart Edition,Team Cherry,Xbox One,09/25/2018,89.0,7,8.7,146,No Online Multiplayer,E10+,"Action, Action Adventure, General, Platformer, None, Metroidvania"
Stardew Valley,"Sickhead Games, LLC",Xbox One,12/14/2016,89.0,10,7.8,137,No Online Multiplayer,E10+,"Role-Playing, General"
Destiny: The Taken King,Bungie Software,Xbox One,09/15/2015,89.0,11,5.3,424,,T,"Action, Shooter, First-Person, Arcade"
Injustice 2,NetherRealm Studios,Xbox One,05/16/2017,89.0,23,8.1,286,2 ,T,"Action, Fighting, 2D"
Fallout 4,Bethesda Game Studios,Xbox One,11/10/2015,88.0,39,6.7,2254,No Online Multiplayer,M,"General, Role-Playing, Western-Style"
N++,Metanet Software Inc.,Xbox One,10/04/2017,88.0,7,5.6,21,No Online Multiplayer,E10+,"Action, Platformer, 2D"
Divinity: Original Sin Enhanced Edition,Larian Studios Games,Xbox One,10/27/2015,88.0,7,7.6,145,2 ,M,"Role-Playing, Action RPG, Western-Style"
FIFA 14,EA Canada,Xbox One,11/19/2013,88.0,22,5.8,360,Up to 22 ,E,"Sim, Sports, Traditional, Team, Soccer, Sim"
Ori and the Blind Forest: Definitive Edition,Moon Studios,Xbox One,03/11/2016,88.0,24,8.2,445,No Online Multiplayer,E,"Action, Platformer, 2D, None, Metroidvania"
Dishonored 2,Arkane Studios,Xbox One,11/10/2016,88.0,25,8.8,794,No Online Multiplayer,M,"Action Adventure, General"
The Banner Saga 3,Stoic,Xbox One,07/26/2018,88.0,9,7.5,28,No Online Multiplayer,T,"Strategy, Turn-Based, Tactics"
DOOM Eternal,id Software,Xbox One,03/19/2020,88.0,33,9.0,1953,Up to 3 ,M,"Action, Shooter, First-Person, Arcade"
Tony Hawk's Pro Skater 1 + 2,Vicarious Visions,Xbox One,09/04/2020,88.0,25,7.8,85,Up to 8 ,T,"Sports, Individual, Skate / Skateboard"
Minecraft: Xbox One Edition,4J Studios,Xbox One,11/18/2014,88.0,14,7.4,427,Up to 8 ,E10+,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy, Fantasy"
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,Xbox One,07/02/2014,88.0,7,7.0,197,No Online Multiplayer,E10+,"Action, Platformer, 2D, None, Metroidvania"
Ori and the Blind Forest,Moon Studios,Xbox One,03/11/2015,88.0,73,8.6,1155,No Online Multiplayer,E,"Action, Platformer, 2D, None, Metroidvania"
