title,developer,platform,release_date,critic_score,number_of_critics,user_score,number_of_users,player_mode,esrb_rating,genre
Disco Elysium: The Final Cut,ZA/UM,PC,03/30/2021,97.0,11,8.3,856,No Online Multiplayer,M,"Role-Playing, General, Western-Style"
Half-Life 2,Valve Software,PC,11/16/2004,96.0,81,9.2,12618,No Online Multiplayer,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
Grand Theft Auto V,Rockstar North,PC,04/13/2015,96.0,57,7.9,9008,Up to 32 ,M,"Modern, Action Adventure, Open-World"
The Orange Box,Valve Software,PC,10/10/2007,96.0,34,9.1,2251,Up to 32 ,M,"Action, Miscellaneous, Shooter, Compilation, First-Person, Sci-Fi"
Half-Life,Valve Software,PC,11/19/1998,96.0,24,9.1,5635,Online Multiplayer,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
BioShock,Irrational Games,PC,08/21/2007,96.0,44,8.6,5959,No Online Multiplayer,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
Baldur's Gate II: Shadows of Amn,BioWare,PC,09/24/2000,95.0,30,9.1,1567,Up to 6 ,T,"Role-Playing, PC-style RPG, PC-style RPG, Western-Style"
Persona 5 Royal,Atlus,PC,10/21/2022,95.0,13,8.4,367,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Portal 2,Valve Software,PC,04/18/2011,95.0,52,9.1,9126,,E10+,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
The Elder Scrolls V: Skyrim,Bethesda Game Studios,PC,11/10/2011,94.0,32,8.4,12731,No Online Multiplayer,M,"Role-Playing, First-Person, First-Person, Western-Style"
Mass Effect 2,BioWare,PC,01/26/2010,94.0,55,8.9,5642,No Online Multiplayer,M,"Role-Playing, Action RPG, Action RPG"
Grand Theft Auto: Vice City,Rockstar North,PC,05/12/2003,94.0,30,8.7,3231,No Online Multiplayer,M,"Action Adventure, Modern, Modern, Open-World"
Sid Meier's Civilization II,MPS Labs,PC,02/29/1996,94.0,7,8.7,506,1 Player,K-A,"Strategy, Turn-Based, Historic, General, Historic, 4X"
Quake,id Software,PC,06/22/1996,94.0,9,8.7,1012,1-16 ,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
BioShock Infinite,Irrational Games,PC,03/25/2013,94.0,68,8.6,9808,No Online Multiplayer,M,"Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade"
The Elder Scrolls IV: Oblivion,Bethesda Softworks,PC,03/20/2006,94.0,54,8.3,3780,No Online Multiplayer,M,"Role-Playing, First-Person, First-Person, Western-Style"
